Date,Asset_Value,Daily_Status,Intraday_Anomaly_Count
2021-09-02,30.251176834106445,Failure,4
2021-09-03,30.68364715576172,Success,7
2021-09-06,30.82419776916504,Success,9
2021-09-07,30.68364715576172,Failure,5
2021-09-08,30.413354873657227,Failure,4
2021-09-09,30.337669372558594,Success,2
2021-09-10,30.694459915161133,Success,1
2021-09-13,30.586341857910156,Failure,2
2021-09-14,30.6187801361084,Failure,1
2021-09-15,30.434978485107422,Failure,7
2021-09-16,30.294422149658203,Failure,5
2021-09-17,30.380922317504883,Success,2
2021-09-22,29.667346954345703,Success,15
2021-09-23,29.840333938598633,Failure,3
2021-09-24,30.19712257385254,Success,4
2021-09-27,30.272802352905273,Success,7
2021-09-28,30.05656623840332,Failure,11
2021-09-29,29.407865524291992,Failure,19
2021-09-30,29.63491439819336,Success,10
2021-10-01,28.96458625793457,Failure,17
2021-10-04,28.791595458984375,Failure,15
2021-10-05,28.74834632873535,Success,17
2021-10-06,28.7591609954834,Failure,14
2021-10-07,29.267314910888672,Success,8
2021-10-08,29.018640518188477,Failure,5
2021-10-12,28.726730346679688,Success,7
2021-10-13,28.629417419433594,Failure,3
2021-10-14,28.705101013183594,Failure,2
2021-10-15,29.46192169189453,Success,8
2021-10-18,29.375431060791016,Failure,3
2021-10-19,29.61328887939453,Success,5
2021-10-20,29.537609100341797,Failure,9
2021-10-21,29.429489135742188,Failure,8
2021-10-22,29.51598358154297,Success,3
2021-10-25,29.49435806274414,Success,4
2021-10-26,29.743030548095703,Success,6
2021-10-27,29.743030548095703,Success,4
2021-10-28,29.656532287597656,Failure,2
2021-10-29,29.3646183013916,Failure,3
2021-11-01,29.51598358154297,Success,1
2021-11-02,29.46192169189453,Failure,2
2021-11-03,29.537609100341797,Success,1
2021-11-04,29.440298080444336,Failure,1
2021-11-05,29.861957550048828,Success,7
2021-11-08,30.09981918334961,Success,4
2021-11-09,30.42416763305664,Success,8
2021-11-10,30.380922317504883,Failure,3
2021-11-11,30.11062240600586,Success,2
2021-11-12,30.207931518554688,Failure,3
2021-11-15,30.478221893310547,Success,4
2021-11-16,30.532285690307617,Success,3
2021-11-17,30.629589080810547,Success,13
2021-11-18,30.802574157714844,Success,3
2021-11-19,30.878259658813477,Failure,3
2021-11-22,30.802574157714844,Failure,2
2021-11-23,30.51066017150879,Failure,2
2021-11-24,30.380922317504883,Failure,2
2021-11-25,30.3701114654541,Failure,1
2021-11-26,29.87276840209961,Failure,7
2021-11-29,29.87276840209961,Success,7
2021-11-30,29.840333938598633,Failure,6
2021-12-01,30.337669372558594,Success,2
2021-12-02,30.662023544311523,Success,5
2021-12-03,30.651212692260742,Failure,3
2021-12-06,30.56471824645996,Success,2
2021-12-07,30.662023544311523,Success,1
2021-12-08,30.78095245361328,Failure,7
2021-12-09,30.70526885986328,Failure,3
2021-12-10,30.694459915161133,Success,2
2021-12-13,30.597148895263672,Failure,3
2021-12-14,30.294422149658203,Failure,3
2021-12-15,30.337669372558594,Success,6
2021-12-16,30.716087341308594,Success,3
2021-12-17,30.68364715576172,Success,3
2021-12-20,30.413354873657227,Failure,2
2021-12-21,30.67283821105957,Success,4
2021-12-22,30.67283821105957,Failure,2
2021-12-23,30.8458194732666,Failure,9
2021-12-24,30.93231964111328,Success,8
2021-12-27,31.170181274414062,Success,4
2021-12-28,31.418846130371094,Success,14
2021-12-29,31.55939292907715,Success,14
2021-12-30,31.46209144592285,Failure,4
2022-01-03,31.65670394897461,Success,4
2022-01-04,32.34865188598633,Success,6
2022-01-05,32.283775329589844,Failure,7
2022-01-06,31.981056213378906,Failure,5
2022-01-07,31.699954986572266,Failure,4
2022-01-10,31.905370712280273,Success,10
2022-01-11,32.06754684448242,Success,11
2022-01-12,32.33784103393555,Success,6
2022-01-13,32.50001907348633,Success,4
2022-01-14,32.50001907348633,Failure,6
2022-01-17,32.86761474609375,Success,4
2022-01-18,32.50001907348633,Failure,9
2022-01-19,32.11079788208008,Failure,9
2022-01-20,32.240535736083984,Success,10
2022-01-21,31.522354125976562,Failure,19
2022-01-24,31.820680618286133,Success,8
2022-01-25,31.301382064819336,Failure,15
2022-01-26,31.27928924560547,Success,11
2022-02-07,31.445022583007812,Failure,15
2022-02-08,31.577600479125977,Failure,7
2022-02-09,31.688091278076172,Failure,5
2022-02-10,32.052711486816406,Success,3
2022-02-11,32.030609130859375,Success,2
2022-02-14,31.53340721130371,Failure,7
2022-02-15,31.38977813720703,Failure,4
2022-02-16,31.909067153930664,Success,4
2022-02-17,31.931167602539062,Success,3
2022-02-18,31.8427734375,Success,2
2022-02-21,31.776487350463867,Success,2
2022-02-22,31.345577239990234,Failure,12
2022-02-23,31.43396759033203,Success,2
2022-02-24,30.671600341796875,Failure,19
2022-02-25,30.605302810668945,Failure,14
2022-03-01,31.036209106445312,Success,5
2022-03-02,30.85943031311035,Failure,4
2022-03-03,30.925722122192383,Failure,2
2022-03-04,30.594255447387695,Failure,8
2022-03-07,29.61090660095215,Failure,34
2022-03-08,28.981124877929688,Failure,27
2022-03-09,29.279449462890625,Success,13
2022-03-10,30.13020896911621,Success,9
2022-03-11,29.69930076599121,Failure,7
2022-03-14,29.69930076599121,Failure,5
2022-03-15,29.091609954833984,Failure,15
2022-03-16,29.213150024414062,Failure,12
2022-03-17,30.141252517700195,Success,9
2022-03-18,30.074960708618164,Failure,8
2022-03-21,30.273836135864258,Success,5
2022-03-22,30.229642868041992,Failure,3
2022-03-23,30.51691436767578,Success,6
2022-03-24,30.49481773376465,Success,2
2022-03-25,30.53900909423828,Failure,3
2022-03-28,30.207548141479492,Failure,6
2022-03-29,30.240694046020508,Failure,4
2022-03-30,30.616355895996094,Success,5
2022-03-31,30.51691436767578,Failure,2
2022-04-01,30.26279067993164,Success,5
2022-04-06,30.10810661315918,Success,7
2022-04-07,29.56671142578125,Failure,9
2022-04-08,29.73244285583496,Success,5
2022-04-11,29.268396377563477,Failure,11
2022-04-12,29.29049301147461,Success,9
2022-04-13,29.842931747436523,Success,4
2022-04-14,29.73244285583496,Failure,3
2022-04-15,29.224205017089844,Failure,13
2022-04-18,29.06951332092285,Failure,11
2022-04-19,29.168954849243164,Failure,5
2022-04-20,29.31258773803711,Success,4
2022-04-21,29.334688186645508,Failure,2
2022-04-22,29.08056640625,Success,7
2022-04-25,28.561267852783203,Failure,21
2022-04-26,28.561267852783203,Failure,6
2022-04-27,27.96463394165039,Failure,19
2022-04-28,28.086166381835938,Failure,7
2022-04-29,28.450780868530273,Failure,7
2022-05-03,28.24085235595703,Failure,4
2022-05-04,28.24085235595703,Failure,6
2022-05-05,28.561267852783203,Failure,4
2022-05-06,27.98672866821289,Success,11
2022-05-09,27.52267837524414,Failure,8
2022-05-10,27.401138305664062,Success,9
2022-05-11,27.44533348083496,Success,5
2022-05-12,26.793453216552734,Failure,7
2022-05-13,27.036523818969727,Success,4
2022-05-16,27.18016242980957,Failure,3
2022-05-17,27.478479385375977,Success,2
2022-05-18,27.776796340942383,Success,4
2022-05-19,27.246456146240234,Failure,4
2022-05-20,27.544775009155273,Success,2
2022-05-23,27.600019454956055,Failure,1
2022-05-24,27.290653228759766,Failure,3
2022-05-25,27.500577926635742,Success,1
2022-05-26,27.158065795898438,Failure,3
2022-05-27,27.732606887817383,Success,7
2022-05-30,28.406587600708008,Success,9
2022-05-31,28.682804107666016,Success,4
2022-06-01,28.539173126220703,Failure,4
2022-06-02,28.24085235595703,Failure,2
2022-06-06,28.439725875854492,Success,2
2022-06-07,28.152462005615234,Failure,3
2022-06-08,28.461830139160156,Success,2
2022-06-09,28.373437881469727,Success,1
2022-06-10,28.086166381835938,Success,2
2022-06-13,27.301700592041016,Failure,11
2022-06-14,27.257503509521484,Success,7
2022-06-15,27.12491798400879,Failure,5
2022-06-16,27.06967544555664,Failure,8
2022-06-17,26.705059051513672,Failure,13
2022-06-20,26.46198844909668,Failure,6
2022-06-21,27.003379821777344,Success,4
2022-06-22,26.40674591064453,Failure,9
2022-06-23,26.05318260192871,Failure,11
2022-06-24,26.108423233032227,Failure,7
2022-06-27,26.727157592773438,Success,11
2022-06-28,26.47303581237793,Failure,7
2022-06-29,26.252059936523438,Success,4
2022-06-30,25.589128494262695,Failure,13
2022-07-01,24.649978637695312,Failure,22
2022-07-04,24.40690040588379,Failure,17
2022-07-05,24.528438568115234,Failure,10
2022-07-06,24.05333709716797,Failure,10
2022-07-07,24.77151107788086,Success,8
2022-07-08,25.025638580322266,Failure,6
2022-07-11,24.80466079711914,Failure,5
2022-07-12,24.208023071289062,Failure,7
2022-07-13,25.0698299407959,Success,16
2022-07-14,25.19137191772461,Success,9
2022-07-15,25.52283477783203,Success,12
2022-07-18,25.635074615478516,Failure,14
2022-07-19,25.657522201538086,Success,8
2022-07-20,25.825878143310547,Failure,11
2022-07-21,26.117694854736328,Success,5
2022-07-22,26.218708038330078,Success,10
2022-07-25,26.196260452270508,Success,6
2022-07-26,25.96056365966797,Failure,8
2022-07-27,26.196260452270508,Success,5
2022-07-28,26.24115562438965,Failure,5
2022-07-29,26.488080978393555,Failure,5
2022-08-01,26.40951156616211,Failure,6
2022-08-02,25.988920211791992,Failure,11
2022-08-03,26.1463623046875,Success,5
2022-08-04,26.213838577270508,Success,4
2022-08-05,26.877336502075195,Success,6
2022-08-08,26.821109771728516,Success,5
2022-08-09,26.79861831665039,Success,5
2022-08-10,26.517473220825195,Failure,4
2022-08-11,27.001041412353516,Success,7
2022-08-12,27.169729232788086,Success,5
2022-08-15,27.417133331298828,Success,6
2022-08-16,27.462112426757812,Success,6
2022-08-17,27.473360061645508,Success,9
2022-08-18,27.293428421020508,Failure,3
2022-08-19,27.338409423828125,Success,2
2022-08-22,27.001041412353516,Success,3
2022-08-23,26.584943771362305,Failure,6
2022-08-24,26.517473220825195,Failure,4
2022-08-25,26.764877319335938,Success,3
2022-08-26,26.899829864501953,Failure,6
2022-08-29,26.213838577270508,Success,10
2022-08-30,26.258819580078125,Success,8
2022-08-31,26.44999885559082,Success,4
2022-09-01,25.89895248413086,Failure,13
2022-09-02,25.61781120300293,Failure,9
2022-09-05,25.674041748046875,Success,5
2022-09-06,25.842727661132812,Success,4
2022-09-07,25.235458374023438,Failure,10
2022-09-08,25.41539192199707,Failure,4
2022-09-12,25.955183029174805,Success,4
2022-09-13,26.090129852294922,Failure,3
2022-09-14,25.561582565307617,Success,7
2022-09-15,25.606565475463867,Success,2
2022-09-16,25.314180374145508,Failure,8
2022-09-19,25.20172119140625,Failure,4
2022-09-20,25.426633834838867,Success,3
2022-09-21,25.21296501159668,Failure,7
2022-09-22,24.909330368041992,Success,9
2022-09-23,24.673168182373047,Failure,9
2022-09-26,24.212093353271484,Failure,13
2022-09-27,24.178356170654297,Failure,5
2022-09-28,23.672298431396484,Failure,12
2022-09-29,23.593578338623047,Failure,6
2022-09-30,23.267452239990234,Success,8
2022-10-03,22.98630714416504,Failure,7
2022-10-04,23.57108497619629,Success,4
2022-10-05,24.122127532958984,Success,7
2022-10-06,24.29081153869629,Success,5
2022-10-07,23.88596534729004,Failure,5
2022-10-11,22.64893341064453,Failure,20
2022-10-12,22.536476135253906,Failure,8
2022-10-13,22.26658058166504,Failure,13
2022-10-14,22.9075870513916,Success,7
2022-10-17,22.480249404907227,Failure,13
2022-10-18,22.738901138305664,Failure,4
2022-10-19,22.435266494750977,Failure,10
2022-10-20,22.31156349182129,Success,12
2022-10-21,22.244089126586914,Failure,8
2022-10-24,22.176610946655273,Failure,11
2022-10-25,21.7492733001709,Failure,13
2022-10-26,21.951696395874023,Success,7
2022-10-27,22.26658058166504,Success,5
2022-10-28,21.98543357849121,Failure,7
2022-10-31,22.27782440185547,Success,6
2022-11-01,22.40152931213379,Success,5
2022-11-02,22.491497039794922,Success,4
2022-11-03,22.19910430908203,Success,8
2022-11-04,22.23284149169922,Success,4
2022-11-07,22.615198135375977,Success,8
